Country_code,Country,Region,Region_Code,New_LA_code,Old_LA_code,LA_name,School_Phase,NC_Year_Admission,Admission_Numbers,Applications_received,Online_Applications,Online_Apps_Percent,No_of_preferences,First_preference_offers,Second_preference_offers,Third_preference_offers,One_of_the_three_preference_offers,Preferred_school_offer,Non_Preferred_Offer,No_Offer,Schools_in_LA_offer,Schools_in_another_LA_offer,Offers_To_NonApplicants,
E92000001,England,SOUTH EAST,E12000008,E06000041,872,Wokingham,Primary,R,2185,2058,1714,83.3,4,1740,159,51,1950,1974,71,13,2013,32,0,
E92000001,England,EAST OF ENGLAND,E12000006,E10000003,873,Cambridgeshire,Primary,R,7965,7201,6656,92.4,3,6487,381,97,6965,6965,234,2,7143,56,0,
E92000001,England,EAST OF ENGLAND,E12000006,E06000031,874,Peterborough,Primary,R,3167,2823,1633,57.8,3,2566,156,43,2765,2765,46,12,2784,29,2,
E92000001,England,NORTH WEST,E12000002,E06000006,876,Halton,Primary,R,1639,1452,850,58.5,3,1293,98,23,1414,1414,33,5,1374,88,15,
E92000001,England,NORTH WEST,E12000002,E06000007,877,Warrington,Primary,R,2735,2534,2425,95.7,3,2291,134,33,2458,2458,75,1,2520,13,0,
E92000001,England,SOUTH WEST,E12000009,E10000008,878,Devon,Primary,R,9046,6816,6189,90.8,3,6432,221,36,6689,6689,120,7,6763,46,0,
E92000001,England,SOUTH WEST,E12000009,E06000026,879,Plymouth,Primary,R,3303,3013,2685,89.1,3,2651,186,67,2904,2904,109,0,2969,44,0,
E92000001,England,SOUTH WEST,E12000009,E06000027,880,Torbay,Primary,R,1607,1326,1105,83.3,3,1142,96,35,1273,1274,49,3,1291,32,0,
E92000001,England,EAST OF ENGLAND,E12000006,E10000012,881,Essex,Primary,R,17417,16564,15619,94.3,4,14355,1047,401,15803,15995,566,3,16336,225,0,
E92000001,England,EAST OF ENGLAND,E12000006,E06000033,882,Southend-on-Sea,Primary,R,2300,2149,1795,83.5,3,1868,151,51,2070,2070,79,0,2115,34,0,
E92000001,England,EAST OF ENGLAND,E12000006,E06000034,883,Thurrock,Primary,R,2457,2358,2118,89.8,4,2026,137,39,2202,2227,123,8,2274,76,0,
E92000001,England,WEST MIDLANDS,E12000005,E06000019,884,Herefordshire,Primary,R,2140,1757,1,0.1,3,1665,60,5,1730,1730,5,22,1718,17,0,
E92000001,England,WEST MIDLANDS,E12000005,E10000034,885,Worcestershire,Primary,R,6880,6268,5838,93.1,3,5680,319,86,6085,6092,169,7,6094,167,0,
E92000001,England,SOUTH EAST,E12000008,E10000016,886,Kent,Primary,R,18848,17414,16754,96.2,3,14942,1272,477,16691,16691,723,0,17310,104,0,
E92000001,England,SOUTH EAST,E12000008,E06000035,887,Medway,Primary,R,3675,3520,3083,87.6,6,3065,256,53,3374,3394,126,0,3429,91,0,
E92000001,England,NORTH WEST,E12000002,E10000017,888,Lancashire,Primary,R,15000,13444,12736,94.7,3,11889,820,287,12996,12996,441,7,13277,160,0,
E92000001,England,NORTH WEST,E12000002,E06000008,889,Blackburn with Darwen,Primary,R,2274,2074,1525,73.5,3,1781,188,41,2010,2010,64,0,1999,75,0,
E92000001,England,NORTH WEST,E12000002,E06000009,890,Blackpool,Primary,R,1858,1584,1175,74.2,3,1425,105,19,1549,1549,35,0,1512,72,0,
E92000001,England,EAST MIDLANDS,E12000004,E10000024,891,Nottinghamshire,Primary,R,10038,9171,9171,100.0,4,8237,450,149,8836,8888,283,0,8982,189,0,
E92000001,England,EAST MIDLANDS,E12000004,E06000018,892,Nottingham,Primary,R,4075,3877,3426,88.4,6,3288,229,96,3613,3662,213,2,3671,204,0,
E92000001,England,WEST MIDLANDS,E12000005,E06000051,893,Shropshire,Primary,R,3325,2777,2740,98.7,3,2594,101,22,2717,2717,60,0,2706,71,0,
E92000001,England,WEST MIDLANDS,E12000005,E06000020,894,Telford and Wrekin,Primary,R,2392,2223,1456,65.5,3,2088,105,29,2222,2223,0,0,2197,26,0,
E92000001,England,NORTH WEST,E12000002,E06000049,895,Cheshire East,Primary,R,4470,3977,3757,94.5,3,3607,213,48,3868,3869,105,3,3910,86,22,
