Region,Sub region,benefit claimants (men) ,benefit claimants (women) ,Percentage of men,Percentage of women,Percentage change men,Percentage change women
Wales,Conwy,"1,020",545,3.1,1.6,-0.4,0
Wales,Denbighshire,790,390,2.9,1.4,-0.4,-0.2
Wales,Flintshire,990,585,2.1,1.2,-0.1,0
Wales,Wrexham,980,525,2.3,1.3,-0.3,-0.1
Wales,Powys,570,260,1.5,0.7,-0.1,-0.1
Wales,Ceredigion,365,165,1.5,0.7,0.1,-0.2
Wales,Pembrokeshire,"1,140",590,3.2,1.6,-0.3,0
Wales,Carmarthenshire,"1,400",805,2.6,1.4,0,0
Wales,Swansea,"2,415","1,170",3.1,1.6,-0.1,-0.1
Wales,Neath Port Talbot,"1,390",785,3.2,1.8,-0.2,-0.1
Wales,Bridgend,"1,305",750,2.9,1.7,0.1,0.2
Wales,Vale of Glamorgan,965,505,2.5,1.3,-0.1,0
Wales,Cardiff,"3,625","1,795",3,1.5,-0.2,-0.1
Wales,Rhondda Cynon Taf,"2,265","1,395",3.1,1.9,-0.4,-0.1
Wales,Merthyr Tydfil,675,435,3.7,2.3,-0.1,0
Wales,Caerphilly,"1,940","1,275",3.5,2.2,-0.7,-0.2
Wales,Blaenau Gwent,985,570,4.5,2.6,-0.7,-0.5
Wales,Torfaen,810,500,2.9,1.7,-0.5,-0.1
Wales,Monmouthshire,440,235,1.6,0.9,-0.1,-0.1
Wales,Newport,"1,890","1,010",4.1,2.2,-0.3,-0.3
Scotland,Aberdeen City,"2,740","1,145",3.3,1.4,0.5,0.3
Scotland,Aberdeenshire,"1,845",830,2.2,1,0.1,0.1
Scotland,Angus,"1,080",465,3.1,1.3,0.1,0.1
Scotland,Argyll and Bute,630,285,2.4,1.1,-0.1,0
Scotland,City of Edinburgh,"3,645","1,785",2.1,1,-0.1,0
Scotland,Clackmannanshire,625,315,3.9,1.9,-0.1,0.2
Scotland,Dumfries and Galloway,"1,075",585,2.5,1.3,0,0.1
Scotland,Dundee City,"2,395",910,5,1.8,-0.3,0
Scotland,East Ayrshire,"1,850",815,4.9,2.1,0.2,0.1
Scotland,East Dunbartonshire,620,305,1.9,0.9,0.2,0.3
Scotland,East Lothian,"1,025",705,3.3,2.1,1,0.9
Scotland,East Renfrewshire,460,260,1.7,0.9,0.1,0.2
Scotland,Falkirk,"1,625",790,3.2,1.5,0.1,0.1
Scotland,Fife,"4,230","1,955",3.8,1.6,0.2,0.1
Scotland,Glasgow City,"9,965","4,340",4.8,2,0.1,0.1
Scotland,Highland,"2,025","1,045",2.8,1.4,0.3,0.4
Scotland,Inverclyde,"1,240",570,5,2.2,0.7,0.4
Scotland,Midlothian,695,335,2.6,1.2,0.1,0.2
Scotland,Moray,835,435,2.8,1.5,0.1,0.4
Scotland,Na h-Eileanan Siar,255,85,3.1,1.1,-0.2,0
Scotland,North Ayrshire,"2,270","1,155",5.7,2.6,-0.3,-0.1
Scotland,North Lanarkshire,"4,195","2,015",3.9,1.8,-0.2,0.1
Scotland,Orkney Islands,90,60,1.3,0.9,0,0.4
Scotland,Perth and Kinross,845,365,1.9,0.8,0.1,0
Scotland,Renfrewshire,"2,130",905,3.9,1.6,0,0
Scotland,Scottish Borders,870,405,2.6,1.2,0,-0.1
Scotland,Shetland Islands,110,30,1.5,0.4,0,0
Scotland,South Ayrshire,"1,180",585,3.6,1.7,0,0.3
Scotland,South Lanarkshire,"3,125","1,480",3.2,1.4,0,0
Scotland,Stirling,645,375,2.2,1.2,0,0.1
Scotland,West Dunbartonshire,"1,510",640,5.4,2.1,-0.3,0
Scotland,West Lothian,"1,530",765,2.7,1.3,0.1,0.2
Northern Ireland,Antrim and Newtownabbey,"1,400",580,3.3,1.3,-0.6,-0.1
Northern Ireland,Ards and North Down,"1,735",685,3.7,1.4,-0.4,-0.3
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,700",875,2.6,1.3,-0.9,-0.3
Northern Ireland,Belfast,"6,005","2,250",5.5,2,-1.1,-0.3
Northern Ireland,Causeway Coast and Glens,"1,755",890,3.9,2,-1,-0.3
Northern Ireland,Derry City and Strabane,"3,445","1,590",7.3,3.3,-1.5,-0.5
Northern Ireland,Fermanagh and Omagh,"1,100",555,3,1.5,-1.1,-0.6
Northern Ireland,Lisburn and Castlereagh,"1,070",455,2.4,1,-0.4,-0.3
Northern Ireland,Mid and East Antrim,"1,570",670,3.7,1.5,-0.2,-0.1
Northern Ireland,Mid Ulster,910,565,2,1.3,-0.6,-0.3
Northern Ireland,"Newry, Mourne and Down","1,670",780,3,1.4,-1,-0.4
,,,,,,,
,,,,,,,
,,,,,,,
,Data from,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/datasets/claimantcountbyunitaryandlocalauthorityexperimental,,,,,
